title	creator	url_creator
<a href="https://libsvcs-1.its.yale.edu/strawberryhill/oneitem.asp?id=140">Catherine de Medici and her children: Charles 9th, Henry 3d. the duke d'Alençon, and Margaret queen of Navarre.</a>	François Clouet (atelier de)	https://www.wikidata.org/wiki/Q336747
<a href="https://commons.wikimedia.org/wiki/File:Panoramique_saint_maur.jpg">Vue panoramique depuis le clocher de l'Abbaye de St Maur (1)</a>. Wikimedia Commons	Franck Devedjian	https://commons.wikimedia.org/wiki/User:Franck_devedjian
<a href="https://gallica.bnf.fr/ark:/12148/btv1b7740569d/f1.image">Ville neuve St George</a> (Bibliothèque nationale de France, Gallica)		
<a href="https://www.a3ce.org/index.php/galerie">Galerie : Cartes postales de Corbeil & Essonnes</a>	[Jean-François ?] Garnerey	
<a href="https://commons.wikimedia.org/wiki/File:Abbaye_Notre-Dame_du_Lys_jardins2.jpg">Abbaye Notre-Dame du Lys</a>. Wikimedia Commons	Remi Mathis	https://commons.wikimedia.org/wiki/User:Remi_Mathis
<a href="https://artsandculture.google.com/asset/view-of-the-ch%C3%A2teau-de-fontainebleau/ewFndLIxi5WW1g">Vue du Château de Fontainebleau (1718-1723)</a>	Pierre-Denis Martin	https://www.wikidata.org/wiki/Q3382963
Topographie francoise ou Representations de plusieurs villes, bourgs, chasteaux, maisons de plaisance, ruines & vestiges d'antiquitez du royaume de France designez par deffunst Claude Chastillon. <a href="https://gallica.bnf.fr/ark:/12148/bpt6k1523713w/f114.image">Vue 65 : La petite ville chasteau et donion de Moret / Par C. Chastillon</a> (Bibliothèque nationale de France, Gallica)	Claude Chastillon	https://www.wikidata.org/wiki/Q1096583
Topographie francoise ou Representations de plusieurs villes, bourgs, chasteaux, maisons de plaisance, ruines & vestiges d'antiquitez du royaume de France designez par deffunst Claude Chastillon. <a href="https://gallica.bnf.fr/ark:/12148/bpt6k1523713w/f125.image">Vue 77 : La petite ville de Montereau / Par C. Chastillon</a> (Bibliothèque nationale de France, Gallica)	Claude Chastillon	https://www.wikidata.org/wiki/Q1096583
Topographie francoise ou Representations de plusieurs villes, bourgs, chasteaux, maisons de plaisance, ruines & vestiges d'antiquitez du royaume de France designez par deffunst Claude Chastillon. <a href="https://gallica.bnf.fr/ark:/12148/bpt6k1523713w/f85.image">Vue 40 : La petite ville de Pont sur Yonne / Par C. Chastillon</a> (Bibliothèque nationale de France, Gallica)	Claude Chastillon	https://www.wikidata.org/wiki/Q1096583
<a href="https://commons.wikimedia.org/wiki/File:Palais_Archev%C3%AAques_Sens_9.jpg">Palais archiépiscopal de Sens</a>. Wikimedia Commons	Chabe01	https://commons.wikimedia.org/wiki/User:Chabe01
<a href="https://commons.wikimedia.org/wiki/File:Pont-sur-Vanne_-_Eglise_Notre-Dame.JPG">Chevet vu du Sud-Est</a>. Wikimedia Commons	Antoine Garnier	https://commons.wikimedia.org/wiki/User:Cantepien
<a href="https://commons.wikimedia.org/wiki/File:Moulin-villeneuve.jpg">Moulins banaux sur la Vanne à Villeneuve l'Archevêque (Yonne France)</a>. Wikimedia Commons	Charley Andrews 89	https://commons.wikimedia.org/wiki/User_talk:Charley_Andrews_89
Charles Fichot, <a href="https://books.google.fr/books?id=C5A1TRMkJHwC&newbks=1&newbks_redir=0&hl=fr&pg=PA217#v=onepage&q&f=false"><i>Statistique monumentale du département de l'Aube</i></a>, Volume II, p. 217.	Garitan	https://commons.wikimedia.org/wiki/User:Garitan
<a href="https://commons.wikimedia.org/wiki/File:Saint-Ly%C3%A9_(19).jpg">Château de Saint-Lyé vu depuis le pont sur la Seine</a>. Wikimedia Commons	Hg marigny	https://commons.wikimedia.org/wiki/User:Hg_marigny
<a href="https://commons.wikimedia.org/wiki/File:Plan_remparts_de_Troyes_05244.jpg">Plan des fortifications de la ville de Troyes au XVI<sup>e</sup> siècle</a>. Wikimedia Commons	Corrard de Bréban	https://www.wikidata.org/wiki/Q43225148